run_num,window_size,lambda_phys,batch_size,learning_rate,num_layers,embed_dim,avg_rsep_pitm
1,10,0.24553181196370505,64,1.9827635497247824e-05,3,64,6.226053511632788
2,10,0.40686488925525127,512,1.3396594944848573e-05,2,128,9.127683112739959
3,10,0.11019811609655145,256,2.932896141108515e-05,1,32,8.797482989310135
4,100,0.09006727660828323,768,3.285117398292504e-07,4,96,32.44175879300044
5,10,0.6979793330079989,768,4.790458231224413e-08,1,64,42.471172207978974
6,100,0.6278696341649943,64,1.4208093646972166e-07,4,128,11.743939939664227
7,150,0.8724783914697007,512,1.8295559054786647e-06,2,96,12.308416853140816
8,10,0.3558447363028124,512,3.0333038592798084e-06,4,32,10.508576143064657
9,20,0.7617974431848931,512,2.7134109746195328e-05,3,64,12.892252190408165
10,150,0.8046191078836651,512,2.8443157200208695e-06,4,128,2.977859727355346
