run_num,window_size,lambda_phys,batch_size,learning_rate,num_layers,embed_dim,avg_rsep_pitm
1,10,0.24553181196370505,64,1.9827635497247824e-05,3,64,9.19264031402708
2,10,0.40686488925525127,512,1.3396594944848573e-05,2,128,10.553745976824612
3,10,0.11019811609655145,256,2.932896141108515e-05,1,32,6.043621176720281
4,100,0.09006727660828323,768,3.285117398292504e-07,4,96,7.349152885118593
5,10,0.6979793330079989,768,4.790458231224413e-08,1,64,15.338930547376062
6,100,0.6278696341649943,64,1.4208093646972166e-07,4,128,14.137216947971204
7,150,0.8724783914697007,512,1.8295559054786647e-06,2,96,13.281047532951515
8,10,0.3558447363028124,512,3.0333038592798084e-06,4,32,14.86785889829973
9,20,0.7617974431848931,512,2.7134109746195328e-05,3,64,12.756650118141943
10,150,0.8046191078836651,512,2.8443157200208695e-06,4,128,15.55166363377757
11,100,0.9406384284488527,64,4.582592433255127e-07,5,128,17.753042757752127
12,150,1.030679433716056,256,2.1409645134333097e-06,4,128,16.187522380249934
13,50,0.5313247366161704,768,0.00019654934393208164,5,96,10.153954398518849
14,10,0.92536663552843,256,2.2132105276419158e-05,2,96,12.536957539675663
15,150,0.844426069386297,64,0.0002667528446039323,4,96,11.553245544258225
16,10,0.24734160054876472,512,2.742462106777618e-07,5,32,10.602827649016874
17,150,0.04532711216547517,256,1.0280555264907088e-06,2,64,6.205092304313531
18,50,0.1497869084150243,64,2.2017641318457201e-07,4,32,24.082150716047604
19,100,0.29217983895999333,512,4.1404599055397294e-05,5,64,6.816389257392898
20,20,0.8907170310448046,256,2.7254284217710174e-07,5,64,18.812641975018998
