run_num,window_size,lambda_phys,batch_size,learning_rate,num_layers,embed_dim,avg_rsep_pitm
45,60,0.8174713061244784,64,2.7630433695541365e-05,5,16,25.270575250733657
46,50,0.3089475954290685,256,3.1752198176173613e-07,5,32,29.891533601463244
47,30,0.6880911023605846,256,2.2802048022101875e-06,3,64,29.777578826164365
48,100,0.3787098231726486,1024,1.9479525999822164e-08,3,64,50.30910141425781
49,50,0.6447423639951652,64,6.923520166729746e-06,4,128,48.92064834768746
50,100,0.44247517916656975,1024,1.1347868262218953e-06,2,64,33.357341063428166
51,60,0.5186470692961281,64,5.666431311226055e-05,5,128,178.9082888819827
52,60,0.971447720564739,768,2.5765504851172723e-08,5,16,47.867522584822
53,80,0.3327439820302459,256,6.308694521469994e-05,1,16,34.453067444327075
54,30,0.6612498945987919,64,6.672409383587356e-06,2,32,29.75181290502239
55,10,0.10560262202901688,512,3.357915393175159e-07,4,64,95.61876772386239
56,50,0.6317825900332593,768,3.1461480377442467e-06,3,32,25.2959801008099
57,10,0.45998906317798266,1024,0.00022467741073737635,1,16,36.899797446652364
58,30,0.1966825526452735,768,1.2949623337923773e-07,2,128,38.92422696552117
59,50,0.7760645496274308,768,1.8926446251185684e-05,4,64,25.31714544173298
60,80,0.5138525460166714,256,9.34197120911715e-06,5,16,26.221602744865436
61,50,0.60985737728892,1024,9.09914866197043e-06,3,64,42.12110280400845
62,40,1.0036027473436113,768,2.0381274318088224e-05,2,32,31.016032313261505
63,100,0.36370656048817745,256,1.5697002045734142e-05,2,96,27.74123643114146
64,80,1.046746239827442,512,2.4994315282114304e-07,5,32,15.699664731564942
65,40,1.0362695543435874,768,4.739495561025791e-05,1,128,16.437672747677173
66,50,0.27512692008296924,768,4.583430498219098e-06,5,32,37.51181369295843
67,50,0.41594757896266765,64,0.00022023413659929303,4,16,43.0620625753182
68,10,0.6019538176323496,256,2.8472817016496973e-08,4,96,21.43788361884146
69,30,0.5302673994367204,1024,1.678992261791932e-07,2,96,21.84928678528935
70,60,0.21362971691299876,256,7.359212435170145e-07,3,96,20.152258152678378
71,60,0.5789177656194046,256,1.3229800975142216e-08,3,64,35.08009714218056
72,100,0.6049299842315579,512,1.1710736996487992e-07,1,96,23.690571149290903
73,50,0.7325187002067132,1024,1.2304478302009295e-07,1,16,46.25824077659952
74,10,0.12346472567296077,256,2.382924760008904e-05,1,128,77.87511197567262
75,40,1.051336914081457,256,1.6873495499884619e-07,4,96,48.79469192908265
76,50,0.4398331420674903,256,5.13237724404958e-08,2,64,25.909563324488463
77,40,0.7728817567117545,256,2.0698970301131293e-07,3,32,39.07859930857366
78,10,0.8312306886611507,256,3.061023378560339e-08,5,128,44.29169129315541
79,80,0.7380396510248386,256,1.1762117474737504e-06,2,128,80.14199706268035
80,100,0.6882863954166095,256,6.165749278800881e-08,5,96,29.245740113665505
81,80,1.0004964308666797,256,2.078762913057657e-08,5,16,47.09264939707144
82,100,0.2932091937845219,512,5.676516646436368e-05,1,96,21.999367330940302
83,10,1.0421229076537426,1024,1.8426377198759696e-08,1,64,43.87237245676365
84,50,0.6239197411455093,256,6.485505494395255e-08,5,16,36.80975159766612
85,80,0.5019819764214898,64,7.73252755084141e-06,5,128,58.70379566796818
86,10,0.32911288993234533,256,9.784740913005737e-06,4,64,38.28189603451297
87,60,0.40037316864316436,256,1.4565835874327517e-06,4,128,159.60431424199774
88,80,0.9728062853490753,1024,9.490920640674506e-05,3,32,40.135128824673004
89,80,0.7119694844243346,768,1.2537572097134313e-08,3,96,86.26415442203626
90,10,0.43218995865811616,512,1.1911520223124658e-08,5,32,29.117519340873727
91,30,0.9875342763072835,256,0.0001049210080120985,4,32,34.817975409143216
92,30,0.8458479395296339,512,4.157217169984812e-05,4,16,27.601693841792
93,30,1.002146194825546,1024,2.189917031958428e-05,2,128,34.02815151901493
94,40,0.5366833353290299,512,4.734552880646585e-05,5,16,27.45117542078699
95,80,0.4764720614602366,768,2.6418047968225444e-05,5,32,57.321501325618236
96,100,1.0892801881707326,256,1.0811026667901489e-07,4,16,14.149208644168535
97,50,0.22907370235432042,768,7.268070666567865e-05,4,16,25.36921790756888
98,40,0.5783830528977779,512,9.539191561807765e-05,5,32,48.632409099762356
99,60,0.02001821238463334,64,1.8895057496443866e-05,1,16,29.120442976635253
100,80,0.1951031165644234,64,1.3302248508868468e-05,5,96,52.809552831966045
